0.	Indeterminate	Indeterminate
0.0001	4.102059224980866e-23	-1.0012247516448581e-23
0.0002	3.822806245985436e-23	-1.9709840874319815e-23
0.00030000000000000003	3.365661033769913e-23	-2.8785737763652e-23
0.0004	2.7428405954378946e-23	-3.694795391792125e-23
0.0005	1.9710577846802305e-23	-4.3926681413482494e-23
0.0006000000000000001	1.0711402621671181e-23	-4.948092358834752e-23
0.0007	6.75545286192785e-25	-5.340450106055375e-23
0.0008	-1.012154903382621e-23	-5.553129630214763e-23
0.0009000000000000001	-2.137999319437425e-23	-5.573961995157345e-23
0.001	-3.278239143411056e-23	-5.395560021067844e-23
0.0011	-4.400122056546962e-23	-5.0155516909250747e-23
0.0012000000000000001	-5.470650145304995e-23	-4.436702372481378e-23
0.0013000000000000002	-6.45735964916956e-23	-3.66692251792225e-23
0.0014	-7.329096536499072e-23	-2.719159893206703e-23
0.0015	-8.056771136452363e-23	-1.6111778073493784e-23
0.0016	-8.61407539914005e-23	-3.6522320985952185e-24
0.0017000000000000001	-8.97814703857734e-23	9.92409146231258e-24
0.0018000000000000002	-9.130165821177102e-23	2.4319080650216624e-23
0.0019	-9.055868577322474e-23	3.92056232897597e-23
0.002	-8.745971109750412e-23	5.423449868140849e-23
0.0021000000000000003	-8.19648701914566e-23	6.904185756147643e-23
0.0022	-7.408935528499283e-23	8.325713777494734e-23
0.0023	-6.390432623057216e-23	9.651125278638294e-23
0.0024000000000000002	-5.153662188107943e-23	1.0844488307957652e-22
0.0025	-3.7167262757196134e-23	1.1871669682526835e-22
0.0026000000000000003	-2.1028761152902187e-23	1.2701132601963693e-22
0.0027	-3.401279519786327e-24	1.330469276372101e-22
0.0028	1.53922979762083e-23	1.365821661536892e-22
0.0029000000000000002	3.4992292901375464e-23	1.3742246396164794e-22
0.003	5.500904983497098e-23	1.3542537954318084e-22
0.0031000000000000003	7.503051498983898e-23	1.3050498953299383e-22
0.0032	9.463043077027738e-23	1.2263516969902962e-22
0.0033	1.1337698672386815e-22	1.118516910282771e-22
0.0034000000000000002	1.3084175626986932e-22	9.825307012938973e-23
0.0035	1.4660874081929042e-22	8.200013760892162e-23
0.0036000000000000003	1.6028333861767482e-22	6.331431347195628e-23
0.0037	1.7150105495047882e-22	4.2474604447085545e-23
0.0038	1.799357732928103e-22	1.9813363934795317e-23
0.0039000000000000003	1.853074135296086e-22	-4.289119479814068e-24
0.004	1.873888134181711e-22	-2.9411114823766616e-23
0.0041	1.8601168284264547e-22	-5.509691006922821e-23
0.004200000000000001	1.810714968843408e-22	-8.08651085757386e-23
0.0043	1.7253121300555166e-22	-1.0621760897274908e-22
0.0044	1.6042371936510018e-22	-1.3064910135852518e-22
0.0045000000000000005	1.448529450484285e-22	-1.5365690034658272e-22
0.0046	1.2599358835924827e-22	-1.7475092652133982e-22
0.0047	1.0408944580513998e-22	-1.9346364247249075e-22
0.0048000000000000004	7.945035151307481e-23	-2.0935974789708586e-22
0.0049	5.244776401431207e-23	-2.2204544035329795e-22
0.005	2.3509064117885573e-23	-2.3117705411212155e-22
0.0051	-6.889346571104369e-24	-2.3646889910233054e-22
0.005200000000000001	-3.8230032542486943e-23	-2.3770013502828776e-22
0.0053	-6.996346027330748e-23	-2.3472053213939114e-22
0.0054	-1.0151772662574212e-22	-2.274549895591224e-22
0.0055000000000000005	-1.3230890594645187e-22	-2.1590670419604673e-22
0.0056	-1.6175182788840139e-22	-2.0015890766053e-22
0.0057	-1.8927108723270805e-22	-1.8037511485495874e-22
0.0058000000000000005	-2.1431207991053906e-22	-1.5679785550930636e-22
0.0059	-2.363518561802938e-22	-1.2974588838638087e-22
0.006	-2.549095825987673e-22	-9.960992665061311e-23
0.0061	-2.6955640905881163e-22	-6.684693143974607e-23
0.006200000000000001	-2.7992454569790083e-22	-3.197305845950025e-23
0.0063	-2.8571536678598935e-22	4.444631092932383e-24
0.0064	-2.8670637457938663e-22	4.1797559289562804e-23
0.006500000000000001	-2.8275687531379494e-22	7.944596153231262e-23
0.0066	-2.738122416740844e-22	1.1672997985661983e-22
0.0067	-2.5990666083263505e-22	1.5298132486418616e-22
0.0068000000000000005	-2.4116429405285444e-22	1.875352985677829e-22
0.006900000000000001	-2.177988024272369e-22	2.1974296105588916e-22
0.007	-1.9011122304303982e-22	2.4898321844546893e-22
0.0071	-1.584862102011407e-22	2.7467460822316353e-22
0.007200000000000001	-1.2338668669769717e-22	2.962865608398227e-22
0.0073	-8.534698005156777e-23	3.1334992330562437e-22
0.0074	-4.496454736639165e-23	3.254665414418338e-22
0.007500000000000001	-2.8904197137736493e-24	3.3231771221420873e-22
0.0076	4.018147800192868e-23	3.3367133596353353e-22
0.0077	8.352595326576516e-23	3.293876200536902e-22
0.0078000000000000005	1.263989203971192e-22	3.1942321010687864e-22
0.0079	1.6805030934102591e-22	3.038336521622928e-22
0.008	2.0773728266014657e-22	2.827741183027339e-22
0.0081	2.4473752631109454e-22	2.564983590267183e-22
0.0082	2.783623757016512e-22	2.253558773534794e-22
0.0083	3.0796953873116055e-22	1.8978735176524893e-22
0.008400000000000001	3.329751820470419e-22	1.5031836703428973e-22
0.0085	3.5286515555934996e-22	1.0755154316963074e-22
