0	Indeterminate	Indeterminate
300	6.497185675238277e-10	-9.749002557278714e-10
600	6.488750549314749e-10	-9.7460096745739e-10
900	6.4747293814372e-10	-9.74102399505278e-10
1200	6.45517785854444e-10	-9.734049201382092e-10
1500	6.430173197077764e-10	-9.725090439684292e-10
1800	6.399813413458005e-10	-9.714154309964524e-10
2100	6.364216408129975e-10	-9.701248853856164e-10
2400	6.323518878828077e-10	-9.686383539725324e-10
2700	6.277875081295291e-10	-9.669569245182417e-10
3000	6.227455457784355e-10	-9.650818237057908e-10
3300	6.172445155243456e-10	-9.630144148906447e-10
3600	6.113042456119407e-10	-9.60756195611213e-10
3900	6.049457145196356e-10	-9.583087948673896e-10
4200	5.981908835844499e-10	-9.5567397017577e-10
4500	5.910625278513286e-10	-9.528536044107956e-10
4800	5.835840673313386e-10	-9.498497024417006e-10
5100	5.757794007148665e-10	-9.466643875756604e-10
5400	5.676727434148778e-10	-9.432998978180524e-10
5700	5.592884716184744e-10	-9.39758581961175e-10
6000	5.506509738095298e-10	-9.36042895513156e-10
6300	5.417845109982064e-10	-9.32155396479123e-10
6600	5.327130866613132e-10	-9.280987410069884e-10
6900	5.234603271669205e-10	-9.2387567891041e-10
7200	5.140493732328261e-10	-9.194890490816909e-10
7500	5.045027827560072e-10	-9.149417748074437e-10
7800	4.948424451528176e-10	-9.102368589999535e-10
8100	4.850895071703291e-10	-9.053773793571519e-10
8400	4.752643099697356e-10	-9.003664834640667e-10
8700	4.6538633714454695e-10	-8.952073838485241e-10
9000	4.554741732196231e-10	-8.899033530037365e-10
9300	4.4554547208193353e-10	-8.844577183901973e-10
9600	4.356169347194794e-10	-8.788738574290974e-10
9900	4.2570429558989594e-10	-8.731551924991696e-10
10200	4.158223169034817e-10	-8.67305185948564e-10
10500	4.0598479008494557e-10	-8.613273351330201e-10
10800	3.96204543672208e-10	-8.552251674911693e-10
11100	3.864934569172349e-10	-8.490022356674423e-10
11400	3.7686247837111466e-10	-8.426621126925604e-10
11700	3.6732164876160944e-10	-8.362083872311556e-10
12000	3.57880127504385e-10	-8.296446589055598e-10
12300	3.4854622222743104e-10	-8.229745337042987e-10
12600	3.393274207303009e-10	-8.162016194833104e-10
12900	3.302304248444149e-10	-8.093295215673628e-10
13200	3.212611857065935e-10	-8.023618384586242e-10
13500	3.1242494000421524e-10	-7.953021576587622e-10
13800	3.037262467961297e-10	-7.881540516104322e-10
14100	2.951690245579439e-10	-7.809210737634328e-10
14400	2.867565881430798e-10	-7.73606754770282e-10
14700	2.784916853915783e-10	-7.662145988154083e-10
15000	2.7037653315677335e-10	-7.587480800816219e-10
15300	2.6241285255541367e-10	-7.512106393570059e-10
15600	2.5460190327949254e-10	-7.436056807848422e-10
15900	2.469445168379056e-10	-7.359365687586865e-10
16200	2.3944112862310506e-10	-7.282066249642346e-10
16500	2.3209180872219222e-10	-7.20419125569113e-10
16800	2.248962914135548e-10	-7.125772985613079e-10
17100	2.1785400330926155e-10	-7.046843212364949e-10
17400	2.1096409012016353e-10	-6.967433178341067e-10
17700	2.0422544203517988e-10	-6.887573573215861e-10
18000	1.9763671771872251e-10	-6.80729451325906e-10
18300	1.9119636694080013e-10	-6.726625522110577e-10
18600	1.8490265186323833e-10	-6.645595512999044e-10
18900	1.7875366701279502e-10	-6.564232772384584e-10
19200	1.7274735797790927e-10	-6.482564945003802e-10
19500	1.6688153887055894e-10	-6.400619020291986e-10
19800	1.6115390859834886e-10	-6.318421320155415e-10
20100	1.5556206599463656e-10	-6.235997488064151e-10
20400	1.5010352385637177e-10	-6.153372479433826e-10
20700	1.4477572194046803e-10	-6.070570553263184e-10
21000	1.395760389700468e-10	-5.987615264992301e-10
21300	1.3450180370191785e-10	-5.904529460545383e-10
21600	1.2955030510621604e-10	-5.821335271520487e-10
21900	1.247188017083299e-10	-5.738054111487766e-10
22200	1.2000453014216124e-10	-5.654706673356795e-10
22500	1.1540471296243429e-10	-5.571312927773095e-10
22800	1.1091656576224628e-10	-5.487892122503309e-10
23100	1.0653730364040061e-10	-5.404462782768229e-10
23400	1.0226414706129071e-10	-5.321042712482674e-10
23700	9.809432714827629e-11	-5.23764899636122e-10
24000	9.402509044960617e-11	-5.154298002848779e-10
24300	9.005370321404729e-11	-5.071005387835306e-10
24600	8.617745521148337e-11	-4.987786099114242e-10
24900	8.239366313186522e-11	-4.904654381544752e-10
25200	7.869967359404362e-11	-4.821623782878206e-10
25500	7.509286579421372e-11	-4.738707160210254e-10
25800	7.15706538219396e-11	-4.6559166870202105e-10
26100	6.813048867003223e-11	-4.5732638607605433e-10
26400	6.476985996291929e-11	-4.4907595109599815e-10
26700	6.148629742657094e-11	-4.408413807804561e-10
27000	5.827737212155221e-11	-4.326236271162131e-10
27300	5.514069745933808e-11	-4.244235780016625e-10
27600	5.2073930020665816e-11	-4.162420582279557e-10
27900	4.907477019341512e-11	-4.080798304947289e-10
28200	4.614096264627928e-11	-3.9993759645736434e-10
28500	4.327029665334217e-11	-3.9181599780286546e-10
28800	4.0460606283590106e-11	-3.837156173515374e-10
29100	3.770977046836067e-11	-3.7563698018177206e-10
29400	3.501571295877669e-11	-3.6758055477536636e-10
29700	3.2376402184309385e-11	-3.5954675418091623e-10
30000	2.978985102277021e-11	-3.515359371929314e-10
30300	2.7254116491246188e-11	-3.43548409544457e-10
30600	2.476729936675246e-11	-3.355844251110854e-10
30900	2.2327543744688845e-11	-3.276441871243595e-10
31200	1.993303654254812e-11	-3.197278493926932e-10
31500	1.758200695572267e-11	-3.118355175280302e-10
