0.	Indeterminate	Indeterminate
0.0001	-5.950042955894304e-23	6.208757891977096e-24
0.0002	-6.068996894130626e-23	1.2525353047563397e-23
0.00030000000000000003	-6.262357951347555e-23	1.9054042875594567e-23
0.0004	-6.52290502670184e-23	2.589200682886539e-23
0.0005	-6.840770223702855e-23	3.312601010911057e-23
0.0006000000000000001	-7.203674312745832e-23	4.082930586347002e-23
0.0007	-7.597220777848457e-23	4.905884759081273e-23
0.0008	-8.005242172950727e-23	5.78528770094773e-23
0.0009000000000000001	-8.410191383316752e-23	6.722894480074112e-23
0.001	-8.793569408257165e-23	7.718241259167047e-23
0.0011	-9.136380472677756e-23	8.768547445846557e-23
0.0012000000000000001	-9.419604653581298e-23	9.868672531939635e-23
0.0013000000000000002	-9.624677786621436e-23	1.101112920642545e-22
0.0014	-9.733968206170696e-23	1.218615313668831e-22
0.0015	-9.731239875003414e-23	1.3381828608878054e-22
0.0016	-9.602091677230404e-23	1.4584268024832824e-22
0.0017000000000000001	-9.334363076898071e-23	1.577784209437403e-22
0.0018000000000000002	-8.918496976805149e-23	1.6945456461394588e-22
0.0019	-8.347851435650712e-23	1.8068869482506452e-22
0.002	-7.61895290082011e-23	1.9129044959021495e-22
0.0021000000000000003	-6.731684769610923e-23	2.0106532825700343e-22
0.0022	-5.689406380999353e-23	2.0981870139667798e-22
0.0023	-4.498998937913541e-23	2.1735994204154724e-22
0.0024000000000000002	-3.170836338931822e-23	2.235065931532697e-22
0.0025	-1.718680429163038e-23	2.2808848444276257e-22
0.0026000000000000003	-1.5950173245079977e-24	2.3095171164812787e-22
0.0027	1.48677172992597e-23	2.3196239312115444e-22
0.0028	3.197573426056277e-23	2.310101220519509e-22
0.0029000000000000002	4.9480795652780797e-23	2.280110378170876e-22
0.003	6.711645741638816e-23	2.229104466779152e-22
0.0031000000000000003	8.460290888855115e-23	2.156849302594648e-22
0.0032	1.0165219411386106e-22	2.063438897541273e-22
0.0033	1.1797371474145458e-22	1.949304844391947e-22
0.0034000000000000002	1.3327990743165069e-22	1.8152193467126354e-22
0.0035	1.4729198386183534e-22	1.662291718020198e-22
0.0036000000000000003	1.5974561876703324e-22	1.4919583021257565e-22
0.0037	1.703964710437471e-22	1.3059658964024502e-22
0.0038	1.7902542481113178e-22	1.1063488891953628e-22
0.0039000000000000003	1.8544344144215354e-22	8.954004492442349e-23
0.004	1.8949591988582016e-22	6.756382263173076e-23
0.0041	1.910664709937016e-22	4.4976513584704465e-23
0.004200000000000001	1.9008002189250125e-22	2.2062590394007552e-23
0.0043	1.8650517852368608e-22	-8.839859391631481e-25
0.0044	1.8035578808032718e-22	-2.356472134384629e-23
0.0045000000000000005	1.716916579586327e-22	-4.5681715920616547e-23
0.0046	1.60618403729099e-22	-6.694286788331114e-23
0.0047	1.4728641522062976e-22	-8.706705627791589e-23
0.0048000000000000004	1.3188894678585117e-22	-1.0578920371295424e-22
0.0049	1.1465935485302292e-22	-1.2286512138601481e-22
0.005	9.586752264201636e-23	-1.3807604162985193e-22
0.0051	7.581552810421196e-23	-1.5123274798849796e-22
0.005200000000000001	5.483262642335401e-23	-1.621792193931478e-22
0.0053	3.326963248604042e-23	-1.707957132289329e-22
0.0054	1.1492801317210064e-23	-1.770012218245163e-22
0.0055000000000000005	-1.012268467539094e-23	-1.8075524798414097e-22
0.0056	-3.1199503914991665e-23	-1.8205885741708683e-22
0.0057	-5.1365134852213604e-23	-1.8095497908002906e-22
0.0058000000000000005	-7.025881721838413e-23	-1.7752793829201958e-22
0.0059	-8.753840435697002e-23	-1.719022217537325e-22
0.006	-1.028869760582156e-22	-1.6424048803622667e-22
0.0061	-1.16019084196739e-22	-1.5474085142903335e-22
0.006200000000000001	-1.266865087847276e-22	-1.4363348098218737e-22
0.0063	-1.3468340972582967e-22	-1.3117656987653604e-22
0.0064	-1.398507694633395e-22	-1.1765174265613597e-22
0.006500000000000001	-1.420800336944615e-22	-1.0335897911578484e-22
0.0066	-1.4131587116406504e-22	-8.861114353536649e-23
0.0067	-1.375579890138242e-22	-7.37282162942687e-23
0.0068000000000000005	-1.308619569714376e-22	-5.903133151490745e-23
0.006900000000000001	-1.2133901151816815e-22	-4.483672913656324e-23
0.007	-1.0915482974808275e-22	-3.1449732605288614e-23
0.0071	-9.452728159025349e-23	-1.9158864114328857e-23
0.007200000000000001	-7.772318805750926e-23	-8.230208011436007e-24
0.0073	-5.905413186066181e-23	1.0978703882101605e-24
0.0074	-3.88713847374799e-23	8.619548736675484e-24
0.007500000000000001	-1.7560032852907374e-23	1.4165819812096292e-23
0.0076	4.467602690916892e-24	1.760812651389848e-23
0.0077	2.6779139139173315e-23	1.886128510148572e-23
0.0078000000000000005	4.8929775907646843e-23	1.7885634352548975e-23
0.0079	7.047027566495184e-23	1.4688361847374726e-23
0.008	9.095514170736215e-23	9.323973139103428e-24
0.0081	1.099508454710503e-22	1.8938848887403676e-24
0.0082	1.2704395545082234e-22	-7.454861146008784e-24
0.0083	1.418490189003971e-22	-1.853175036195994e-23
0.008400000000000001	1.5401605049705834e-22	-3.1105784962134e-23
0.0085	1.6323748763411222e-22	-4.49092666091158e-23
0.0086	1.6925448008026113e-22	-5.964231278227696e-23
0.008700000000000001	1.7186239229031772e-22	-7.497803357789596e-23
0.0088	1.709154094956098e-22	-9.056828292453844e-23
0.0089	1.6633015363111668e-22	-1.06049886856419e-22
0.009000000000000001	1.5808823191694802e-22	-1.2105124181100309e-22
0.0091	1.4623765921653587e-22	-1.3519916808151688e-22
0.0092	1.3089311482547503e-22	-1.4812589771588243e-22
0.009300000000000001	1.1223501476179775e-22	-1.594760724315822e-22
0.0094	9.050740157092859e-23	-1.6891362559433618e-22
0.0095	6.601467475526781e-23	-1.7612842303151044e-22
0.009600000000000001	3.911720581280449e-23	-1.8084254042305634e-22
0.0097	1.0225902146442017e-23	-1.8281606019746827e-22
0.0098	-2.0204196580656493e-23	-1.8185227818171722e-22
0.0099	-5.168118807001463e-23	-1.7780221959778423e-22
0.01	-8.368432506654732e-23	-1.7056837521274848e-22
0.010100000000000001	-1.156726487600555e-22	-1.6010758134860253e-22
0.0102	-1.4709409339259633e-22	-1.4643298182511688e-22
0.0103	-1.7739490781965297e-22	-1.2961502549975271e-22
0.010400000000000001	-2.0602923267859423e-22	-1.0978146961522666e-22
0.0105	-2.3246866750869103e-22	-8.711637638168468e-23
0.0106	-2.56211660738707e-22	-6.185810780676713e-23
0.010700000000000001	-2.7679255695619105e-22	-3.429634143513527e-23
0.0108	-2.9379014029103695e-22	-4.76814705827728e-24
0.0109	-3.0683552002696083e-22	2.634681870273673e-23
0.011000000000000001	-3.1561921458971606e-22	5.863192705463324e-23
0.0111	-3.198973026925897e-22	9.163991320287581e-23
0.0112	-3.194965254437372e-22	1.2489983288280788e-22
0.011300000000000001	-3.143182403888624e-22	1.5792452632870286e-22
0.0114	-3.0434114749027963e-22	1.9021846686465939e-22
0.0115	-2.8962272760893403e-22	2.2128586346815414e-22
0.011600000000000001	-2.702993558103514e-22	2.506388810350326e-22
0.0117	-2.4658507438689014e-22	2.7780583877633082e-22
0.0118	-2.1876903348896136e-22	3.023392462751383e-22
0.0119	-1.8721163028953196e-22	3.238235382566765e-22
0.012	-1.5233940026901633e-22	3.4188237306590905e-22
0.012100000000000001	-1.1463873610577386e-22	3.561853661509035e-22
0.0122	-7.464853040646506e-23	3.6645413842220547e-22
0.0123	-3.2951857743971884e-23	3.7246757006404447e-22
0.012400000000000001	9.833171153393478e-24	3.740661630399173e-22
0.0125	5.306323501039333e-23	3.7115542995574705e-22
0.0126	9.608014659687689e-23	3.6370824287977906e-22
0.012700000000000001	1.3822154540402554e-22	3.517660929035449e-22
0.0128	1.7883176028781105e-22	3.3543922937372728e-22
0.0129	2.172726597523204e-22	3.1490566652363637e-22
0.013000000000000001	2.529343064318498e-22	2.904090643656879e-22
0.0131	2.8524523434943458e-22	2.6225550984587165e-22
0.0132	3.136821726629149e-22	2.308092430792444e-22
0.013300000000000001	3.377790477861182e-22	1.9648739165761781e-22
0.0134	3.5713510686817115e-22	1.5975379323198888e-22
0.0135	3.714220194531771e-22	1.2111200252336278e-22
0.013600000000000001	3.8038983050279312e-22	8.109759332709539e-23
0.0137	3.8387165657853526e-22	4.0269878693677097e-23
0.013800000000000002	3.8178703754203007e-22	-7.968169314225726e-25
0.013900000000000001	3.7414387829854334e-22	-4.152219143533706e-23
0.014	3.610389385115366e-22	-8.132915643114296e-23
0.014100000000000001	3.4265685246081924e-22	-1.1965303456368996e-22
0.0142	3.1926768589508207e-22	-1.5595060997189095e-22
0.0143	2.9122306142330723e-22	-1.8970888072647136e-22
0.014400000000000001	2.589509082789156e-22	-2.2045336619995256e-22
0.0145	2.2294891576094333e-22	-2.4775582896770426e-22
0.0146	1.837767919058902e-22	-2.7124127988362277e-22
0.014700000000000001	1.4204744958924173e-22	-2.905941462786264e-22
0.0148	9.841726094005532e-23	-3.0556349661303857e-22
0.0149	5.357553735030257e-23	-3.1596723015734083e-22
0.015000000000000001	8.233406185764703e-24	-3.2169515712961924e-22
0.0151	-3.688773368772424e-23	-3.227109129041478e-22
