0	Indeterminate	1.511329423021774e-11
400	1.5349492399558013e-11	1.5112193872725858e-11
800	1.5345964475198447e-11	1.5108892984350235e-11
1200	1.5340085384270466e-11	1.5103392117347675e-11
1600	1.5331856301003036e-11	1.509569219200201e-11
2000	1.532127886876089e-11	1.5085794496407883e-11
2400	1.5308355199369065e-11	1.5073700686168167e-11
2800	1.5293087872464542e-11	1.5059412784005107e-11
3200	1.5275479934579736e-11	1.5042933179285362e-11
3600	1.525553489799081e-11	1.502426462745907e-11
4000	1.5233256739531225e-11	1.50034102494132e-11
4400	1.520864989921628e-11	1.4980373530739374e-11
4800	1.5181719278582766e-11	1.4955158320916466e-11
5200	1.5152470239045825e-11	1.4927768832408256e-11
5600	1.5120908599979142e-11	1.4898209639676463e-11
6000	1.5087040636672753e-11	1.4866485678109537e-11
6400	1.50508730781544e-11	1.4832602242867593e-11
6800	1.501241310476676e-11	1.47965649876439e-11
7200	1.4971668345731357e-11	1.4758379923343377e-11
7600	1.4928646876433952e-11	1.4718053416678584e-11
8000	1.4883357215611652e-11	1.4675592188683733e-11
8400	1.4835808322429598e-11	1.463100331314721e-11
8800	1.478600959330916e-11	1.4584294214963245e-11
9200	1.473397085871452e-11	1.4535472668403266e-11
9600	1.467970237974512e-11	1.4484546795307604e-11
10000	1.462321484456676e-11	1.4431525063198203e-11
10400	1.456451936478637e-11	1.4376416283312977e-11
10800	1.4503627471552815e-11	1.4319229608562586e-11
11200	1.4440551111742999e-11	1.4259974531410322e-11
11600	1.4375302643715939e-11	1.4198660881675895e-11
12000	1.430789483326644e-11	1.4135298824263903e-11
12400	1.4238340849144945e-11	1.4069898856817803e-11
12800	1.41666542587095e-11	1.4002471807300225e-11
13200	1.409284902330917e-11	1.3933028831500517e-11
13600	1.4016939493585505e-11	1.3861581410470397e-11
14000	1.3938940404683131e-11	1.3788141347888615e-11
14400	1.3858866871311418e-11	1.371272076735564e-11
14800	1.3776734382695694e-11	1.3635332109619233e-11
15200	1.3692558797514292e-11	1.3555988129731993e-11
15600	1.3606356338585493e-11	1.347470189414184e-11
16000	1.3518143587608337e-11	1.3391486777716472e-11
16400	1.3427937479643632e-11	1.3306356460702866e-11
16800	1.3335755297693163e-11	1.3219324925622918e-11
17200	1.3241614666977933e-11	1.3130406454106263e-11
17600	1.3145533549358091e-11	1.3039615623661486e-11
18000	1.3047530237467959e-11	1.2946967304386752e-11
18400	1.2947623348861303e-11	1.285247665562114e-11
18800	1.2845831820144117e-11	1.2756159122537729e-11
19200	1.2742174900913469e-11	1.2658030432679756e-11
19600	1.263667214768229e-11	1.2558106592440953e-11
20000	1.2529343417772502e-11	1.2456403883491355e-11
20400	1.2420208863080842e-11	1.2352938859149837e-11
20800	1.2309288923827743e-11	1.2247728340704568e-11
21200	1.2196604322286585e-11	1.2140789413682745e-11
21600	1.2082176056343643e-11	1.2032139424070862e-11
22000	1.1966025393126006e-11	1.192179597448679e-11
22400	1.184817386258849e-11	1.1809776920305057e-11
22800	1.1728643250902467e-11	1.1696100365736604e-11
23200	1.1607455594054892e-11	1.158078465986437e-11
23600	1.1484633171164076e-11	1.146384839263611e-11
24000	1.1360198497963161e-11	1.1345310390815732e-11
24400	1.1234174320148403e-11	1.1225189713894602e-11
24800	1.1106583606697037e-11	1.1103505649964173e-11
25200	1.0977449543266047e-11	1.0980277711551328e-11
25600	1.0846795525443328e-11	1.0855525631417858e-11
26000	1.071464515208308e-11	1.0729269358325501e-11
26400	1.058102221862137e-11	1.0601529052767885e-11
26800	1.0445950710298766e-11	1.0472325082670915e-11
27200	1.0309454795489001e-11	1.0341678019062939e-11
27600	1.0171558818970414e-11	1.0209608631716189e-11
28000	1.0032287295228286e-11	1.0076137884760894e-11
28400	9.891664901686934e-12	9.94128693227354e-12
28800	9.749716472107752e-12	9.805077113840723e-12
29200	9.606466989802806e-12	9.66752995010001e-12
29600	9.46194158103407e-12	9.528667138259311e-12
30000	9.316165508323858e-12	9.388510547596181e-12
30400	9.169164163844693e-12	9.247082214938503e-12
30800	9.020963062792217e-12	9.104404340128027e-12
31200	8.87158783682037e-12	8.96049928146819e-12
31600	8.721064227473289e-12	8.815389551157695e-12
32000	8.569418079697108e-12	8.669097810711285e-12
32400	8.41667533530859e-12	8.521646866369126e-12
32800	8.262862026610287e-12	8.373059664496319e-12
33200	8.1080042699076e-12	8.22335928697387e-12
33600	7.952128259218845e-12	8.072568946582666e-12
34000	7.79526025991117e-12	7.920711982381792e-12
34400	7.637426602459457e-12	7.767811855082653e-12
34800	7.47865367617074e-12	7.613892142420322e-12
35200	7.31896792307954e-12	7.45897653452349e-12
35600	7.1583958317895e-12	7.303088829284444e-12
36000	6.996963931417363e-12	7.146252927730448e-12
36400	6.834698785598755e-12	6.9884928293979285e-12
36800	6.671626986532789e-12	6.829832627710804e-12
37200	6.507775149122536e-12	6.6702965053643515e-12
37600	6.343169905121122e-12	6.5099087297159345e-12
38000	6.177837897403345e-12	6.348693648183962e-12
38400	6.011805774275207e-12	6.1866756836563744e-12
38800	5.845100183841736e-12	6.0238793299099745e-12
39200	5.677747768483949e-12	5.860329147041937e-12
39600	5.50977515935232e-12	5.69604975691474e-12
40000	5.34120897097569e-12	5.531065838615815e-12
40400	5.1720757959327395e-12	5.365402123933183e-12
40800	5.002402199592691e-12	5.199083392848281e-12
41200	4.832214714940297e-12	5.032134469047253e-12
41600	4.6615398374601974e-12	4.864580215451884e-12
42000	4.490404020137594e-12	4.696445529771374e-12
42400	4.31883366848723e-12	4.5277553400761456e-12
